;------;288421;Centro At Socio-Ed Adolesc - Maestro Carlos Gomes Un I Ci;Aladino Selmi Comendador;San Martin;Aladino Selmi Comendador San Martin  Campinas/ SP;3282-6837;3282-6837; EF AF (manhã) EM (manhã)       ;;REGULAR;;EF AF (manhã);EM (manhã);;;;;;;
;------;498671;"Centro De Atend Socioeduc Ao Adolescente Andorinhas Cip	";Aladino Selmi Comendador;San Martin;Aladino Selmi Comendador San Martin  Campinas/ SP;3303-1889;3303-1889;PEI         EJA(integral) ;;PEI;;;;;;;;;EJA(integral);
71;42808;18272;Thomás Alves Dr EE;Rua Conselheiro  Antonio Prado, 160;;Rua Conselheiro  Antonio Prado, 160   Campinas/ SP;;32581885;EF AI (manhã) EF AF (manhã e tarde) EM (manhã) DI (ITINE) AUTISMO (ITINE) ITI.FOR (manhã e noite) EJA (noite) ;;REGULAR;EF AI (manhã);EF AF (manhã e tarde);EM (manhã);--------;DI (ITINE);--------;AUTISMO (ITINE);ITI.FOR (manhã e noite);EJA (noite);
72;82473;914873;Uacury Ribeiro de Assis Bastos EE;R. Maria Salomé Braz, 80;;R. Maria Salomé Braz, 80   Campinas/ SP;32571450;32571475;PEI EF AI (integral) EF AF (integral)  DI (ITINE) ;;PEI;EF AI (integral);EF AF (integral);--------;--------;DI (ITINE);--------;--------;--------;--------;
73;42794;18879;Vitor Meirelles EE;Rua Espirito Santo, 67;;Rua Espirito Santo, 67   Campinas/ SP;32720155;32724147;PEI EM (integral) ITI.FOR (integral) ;;PEI;--------;--------;EM (integral);--------;--------;--------;--------;ITI.FOR (integral);--------;
74;57335;42648;Vitorio José Antonio Zamarion EE;Rua  Dr. Osvaldo Anhert, s/n;;Rua  Dr. Osvaldo Anhert, s/n   Campinas/ SP;;32426322;PEI EF AI (integral)  ;;PEI;EF AI (integral);--------;--------;--------;--------;--------;--------;--------;--------;
75;69039;903887;Washington José de Lacerda EE;Rua Nazareno Mingone, 42;;Rua Nazareno Mingone, 42   Campinas/ SP;32273115;32683900;EF AI (manhã e tarde)  DI (SALA REC) AUTISMO (ITINE) ;;REGULAR;EF AI (manhã e tarde);--------;--------;--------;DI (SALA REC);--------;AUTISMO (ITINE);--------;--------;
76;42808;47181;Wilson Brandão Tóffano Prof. EE;Rua Ernesto Carlos Reimann, s/n;Jardin Campos El[iseos;Rua Ernesto Carlos Reimann, s/n Jardin Campos El[iseos  Campinas/ SP;32273797;32685910;PEI EF AI (integral)  ;;PEI;EF AI (integral);--------;;--------;--------;--------;--------;--------;--------;
ESCOLAS ESTADUAIS DO MUNICÍPIO DE JAGUARIÚNA;;;;;;;;; ;;--------;--------;--------;--------;--------;--------;--------;--------;--------;--------;
77;81079;913996;Anna Calvo de Godoy  Profª EE;Rua Goiás, 70;Jardim Mauá I;Rua Goiás, 70 Jardim Mauá I  Jaguariuna/ SP;38675090;38673061;EM (manhã, tarde e noite) NOVOTEC DI (SALA REC) AUTISMO (SALA REC) ITI.FOR (manhã e noite) ;;REGULAR;--------;--------;EM (manhã, tarde e noite);NOVOTEC;DI (SALA REC);--------;AUTISMO (SALA REC);ITI.FOR (manhã e noite);--------;
78;42879;17700;Celso Henrique Tozzi Prof. EE;R. Mal. Floriano Peixoto, 261;Novo Jaguari;R. Mal. Floriano Peixoto, 261 Novo Jaguari  Jaguariuna/ SP;38675091;38671570;PEI EM (integral) ITI.FOR (integral) ;;PEI;--------;--------;EM (integral);--------;--------;--------;--------;ITI.FOR (integral);--------;
79;60860;47053;Júlia Calhau Rodrigues Profª EE;Rua Roraima, 055;Dom Bosco;Rua Roraima, 055 Dom Bosco  Jaguariuna/ SP;38675087;38671401;EM (manhã, tarde e noite) ITI.FOR (manhã, tarde e noite) EJA ;;REGULAR;--------;--------;EM (manhã, tarde e noite);--------;--------;--------;--------;ITI.FOR (manhã, tarde e noite);EJA;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
